Date,RSI_14,RSI_5,RSI_7,RSI_50,ROC_12,ROC_25,ROC_200,MACD,TRIX_15,TRIX_30,MA_10,MA_20,MA_50,MA_100,MA_200,EMA_12,EMA_26,EMA_50,EMA_200,ADX,CCI,NegativeVolume,ADI,MFI,OBV,Bollinger_mavg,Bollinger_hband,Bollinger_lband,Bollinger_hband_indicator,Bollinger_lband_indicator
2014-10-16,32.50583165416208,21.49357393704463,25.24472174469021,43.79689354333487,-6.072452841331877,-8.36863263388443,-24.05527248372706,-6.110783219788743,-0.20497278274968886,-0.05181046343471419,313.49700317382815,318.39500122070314,326.6888000488281,328.12110107421876,338.15945083618163,312.83173430822546,318.9425175280142,323.474899877072,328.93587955946697,31.55907571591941,-194.32913735931103,1136.100710586959,211625543.58417276,25.19622650286101,82505900,318.39500122070314,333.52730979162993,303.26269264977634,0.0,1.0
2014-10-17,33.61185318400014,25.641583046075922,27.881212554843145,44.01937360533856,-4.353297164564501,-8.31848412991961,-23.702788220952574,-6.391375204858775,-0.22103659935745254,-0.0591436005592756,311.5870056152344,317.01100158691406,326.53260009765626,328.055901184082,337.6878009033203,311.417623591335,317.80899879619375,322.697061240655,328.6841794110985,33.04449522514755,-126.66446737450364,1139.0267882509647,208471290.58398908,28.67374484781672,86911000,317.01100158691406,332.2246701758769,301.79733299795123,0.0,0.0
2014-10-20,37.2597817754485,38.93043902877103,36.4908659782703,44.75459669644011,-3.8315417438886974,-5.458650280574393,-22.7600672057972,-6.333363650696015,-0.2342340503271691,-0.06637176229475542,309.9880035400391,316.096501159668,326.32080017089845,327.98020111083986,337.23665084838865,310.6164494165262,316.94981306722224,322.05050948435786,328.4605556503421,34.48256978222568,-111.30258255963133,1148.6673899066345,211246783.28955936,28.420938118686394,90145500,316.096501159668,331.59572089281664,300.5972814265193,0.0,0.0
2014-10-21,48.148301764393835,65.93514382010116,57.4977412149267,47.2626624135581,-2.2959669970641703,-3.7924160431432283,-19.891780946388362,-5.488216940500024,-0.2390408807966564,-0.07267047743217707,309.8230010986328,315.68150024414064,326.26080017089845,328.0080010986328,336.84515075683595,311.34160897894765,316.82982591944767,321.7869595662366,328.3299032217045,33.686257518292294,-27.78118708435284,1148.6673899066345,214548561.23858047,35.19951569744839,93704800,315.68150024414064,330.79122170252907,300.5717787857522,0.0,0.0
2014-10-22,45.927084260362875,57.68432308531572,52.27737982860932,46.702808921954066,-2.8646836240333022,-3.4043206108940973,-21.37024792590032,-4.951782116505285,-0.2389559973503192,-0.07830783497529516,308.85,314.91950073242185,326.1338000488281,328.04930114746094,336.41985076904297,311.59213086229465,316.54391297879994,321.4411964938627,328.1770683759234,32.31755884083576,0.31089950360653296,1140.0705601427899,211748057.33386853,41.7650167854819,90578900,314.91950073242185,328.9216054496763,300.9173960151674,0.0,0.0
2014-10-23,46.165070180395404,58.26519570180733,52.72297353006446,46.760070053185906,-1.19881954029927,-3.636925330528846,-22.07902512620429,-4.458316401956097,-0.23499573074478156,-0.08330035112289863,308.63099975585936,314.48200073242185,325.87179992675783,328.1092010498047,335.9761506652832,311.83641729513874,316.29473369709484,321.1172277166831,328.02784374209114,31.216148191290852,-6.254663613996739,1140.0705601427899,208668377.01942408,31.790128957439904,99617100,314.48200073242185,328.1227151459414,300.8412863189023,0.0,0.0
2014-10-24,29.04268179987683,18.5893761116116,22.38786062009457,41.14883411486701,-11.044317725520354,-13.358689118436976,-28.415752582742428,-6.104537274242205,-0.2439496304245665,-0.08981844714756328,306.197998046875,312.6745010375977,324.9488000488281,327.91200103759763,335.40640060424806,308.02466041259333,314.12919768683554,319.7816500634247,327.62020348155886,32.55502393445027,-237.89148136429176,1140.0705601427899,201220250.0544462,24.786614414232375,79816000,312.6745010375977,330.22894652374663,295.12005555144873,0.0,1.0
2014-10-27,32.06572874967736,25.640874752897986,27.788200815431026,41.94087613581257,-8.05402996155232,-10.640985756331856,-27.08092376645205,-7.0926070413152615,-0.2590544766798678,-0.097254524920164,304.5499969482422,311.0820007324219,324.07559997558593,327.5760009765625,334.86795059204104,305.2470205369179,312.33962757823315,318.6125657950827,327.2455746033414,33.798265695955436,-189.55098305904065,1151.6277591022215,206179060.968387,31.0680325957008,85766600,311.0820007324219,330.6877430743375,291.47625839050625,0.0,1.0
2014-10-28,37.59530732501248,38.5004028157417,37.57497137211754,43.44094643691248,-5.0740285710141535,-8.66421781721854,-24.397670460900653,-7.337589646724325,-0.27381086165339213,-0.10487587376156503,303.2779968261719,309.73950042724607,323.2967999267578,327.2352008056641,334.3910005187988,303.7613245062983,311.09891415302263,317.70971993401633,326.93059372507827,33.740189461987754,-121.18012735210775,1173.9478003331278,208491951.6664404,32.60026913059514,91339200,309.73950042724607,329.72388192800236,289.7551189264898,0.0,0.0
2014-10-29,36.75263632067098,36.43996065452747,36.08266367810551,43.14342964503484,-4.02350027694365,-10.386641852905475,-26.01499502056985,-7.563173384844731,-0.2881278513822087,-0.11265730521782231,302.09299621582034,308.57250061035154,322.47659973144533,326.9014007568359,333.8739004516602,302.27804306181974,309.8412164466645,316.7846326862976,326.60412010708933,33.44651625200225,-99.48699242013473,1168.1096301619061,205177621.27754995,38.115492610964054,86457300,308.57250061035154,329.32823578309996,287.8167654376031,0.0,0.0
